CVE,CWE,descriptions
CVE-2024-21444,"CWE-79","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
CVE-2024-21377,"CWE-125","Out-of-bounds Read"
CVE-2024-21445,"CWE-502","Deserialization of Untrusted Data"
CVE-2024-21378,"CWE-476","NULL Pointer Dereference"
CVE-2024-21446,"CWE-190","Integer Overflow or Wraparound"
CVE-2024-21379,"CWE-787","Out-of-bounds Write"
CVE-2024-21447,"CWE-22","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')"
CVE-2024-21380,"CWE-862","Missing Authorization"
CVE-2024-21448,"CWE-78","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')"
CVE-2024-21381,"CWE-119","Improper Restriction of Operations within the Bounds of a Memory Buffer"
CVE-2024-21449,"CWE-352","Cross-Site Request Forgery (CSRF)"
CVE-2024-21382,"CWE-287","Improper Authentication"
CVE-2024-21450,"CWE-20","Improper Input Validation"
CVE-2024-21383,"CWE-416","Use After Free"
CVE-2024-21451,"CWE-89","Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')"
CVE-2024-21384,"CWE-79","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
CVE-2024-21452,"CWE-125","Out-of-bounds Read"
CVE-2024-21385,"CWE-502","Deserialization of Untrusted Data"
CVE-2024-21453,"CWE-476","NULL Pointer Dereference"
CVE-2024-21386,"CWE-190","Integer Overflow or Wraparound"
CVE-2024-21454,"CWE-787","Out-of-bounds Write"
CVE-2024-21387,"CWE-22","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')"
CVE-2024-21455,"CWE-862","Missing Authorization"
CVE-2024-21388,"CWE-78","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')"
CVE-2024-21456,"CWE-119","Improper Restriction of Operations within the Bounds of a Memory Buffer"
CVE-2024-21389,"CWE-352","Cross-Site Request Forgery (CSRF)"
CVE-2024-21457,"CWE-287","Improper Authentication"
CVE-2024-21390,"CWE-20","Improper Input Validation"
CVE-2024-21458,"CWE-416","Use After Free"
CVE-2024-21391,"CWE-89","Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')"
CVE-2024-21459,"CWE-79","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
CVE-2024-21392,"CWE-125","Out-of-bounds Read"
CVE-2024-21460,"CWE-502","Deserialization of Untrusted Data"
CVE-2024-21393,"CWE-476","NULL Pointer Dereference"
CVE-2024-21461,"CWE-190","Integer Overflow or Wraparound"
CVE-2024-21394,"CWE-787","Out-of-bounds Write"
CVE-2024-21462,"CWE-22","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')"
CVE-2024-21395,"CWE-862","Missing Authorization"
CVE-2024-21463,"CWE-78","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')"
CVE-2024-21396,"CWE-119","Improper Restriction of Operations within the Bounds of a Memory Buffer"
CVE-2024-21464,"CWE-352","Cross-Site Request Forgery (CSRF)"
CVE-2024-21397,"CWE-287","Improper Authentication"
CVE-2024-21465,"CWE-20","Improper Input Validation"
CVE-2024-21398,"CWE-416","Use After Free"
CVE-2024-21466,"CWE-89","Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')"
CVE-2024-21399,"CWE-79","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
CVE-2024-21467,"CWE-125","Out-of-bounds Read"
CVE-2024-21400,"CWE-502","Deserialization of Untrusted Data"
CVE-2024-21468,"CWE-476","NULL Pointer Dereference"
CVE-2024-21401,"CWE-190","Integer Overflow or Wraparound"
CVE-2024-21469,"CWE-787","Out-of-bounds Write"
CVE-2024-21402,"CWE-22","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')"
CVE-2024-21470,"CWE-862","Missing Authorization"
CVE-2024-21403,"CWE-78","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')"
CVE-2024-21471,"CWE-119","Improper Restriction of Operations within the Bounds of a Memory Buffer"
CVE-2024-21404,"CWE-352","Cross-Site Request Forgery (CSRF)"
CVE-2024-21472,"CWE-287","Improper Authentication"
CVE-2024-21405,"CWE-20","Improper Input Validation"
CVE-2024-21473,"CWE-416","Use After Free"
CVE-2024-21406,"CWE-89","Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')"
CVE-2024-21474,"CWE-79","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
CVE-2024-21407,"CWE-125","Out-of-bounds Read"
CVE-2024-21475,"CWE-502","Deserialization of Untrusted Data"
CVE-2024-21408,"CWE-476","NULL Pointer Dereference"
CVE-2024-21476,"CWE-190","Integer Overflow or Wraparound"
CVE-2024-21409,"CWE-787","Out-of-bounds Write"
CVE-2024-21477,"CWE-22","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')"
CVE-2024-21478,"CWE-862","Missing Authorization"
CVE-2024-21479,"CWE-78","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')"
CVE-2024-21480,"CWE-119","Improper Restriction of Operations within the Bounds of a Memory Buffer"
CVE-2024-21481,"CWE-352","Cross-Site Request Forgery (CSRF)"
CVE-2024-21482,"CWE-287","Improper Authentication"
CVE-2024-21483,"CWE-20","Improper Input Validation"
CVE-2024-21484,"CWE-416","Use After Free"
CVE-2024-21485,"CWE-89","Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')"
CVE-2024-21486,"CWE-79","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
CVE-2024-21487,"CWE-125","Out-of-bounds Read"
CVE-2024-21488,"CWE-502","Deserialization of Untrusted Data"
CVE-2024-21489,"CWE-476","NULL Pointer Dereference"
CVE-2024-21490,"CWE-190","Integer Overflow or Wraparound"
CVE-2024-21491,"CWE-787","Out-of-bounds Write"
CVE-2024-21492,"CWE-22","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')"
CVE-2024-21493,"CWE-862","Missing Authorization"
CVE-2024-21494,"CWE-78","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')"
CVE-2024-21495,"CWE-119","Improper Restriction of Operations within the Bounds of a Memory Buffer"
CVE-2024-21496,"CWE-352","Cross-Site Request Forgery (CSRF)"
CVE-2024-21497,"CWE-287","Improper Authentication"
CVE-2024-21498,"CWE-20","Improper Input Validation"
CVE-2024-21499,"CWE-416","Use After Free"
CVE-2024-21500,"CWE-89","Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')"
CVE-2024-21501,"CWE-79","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
CVE-2024-21502,"CWE-125","Out-of-bounds Read"
CVE-2024-21503,"CWE-502","Deserialization of Untrusted Data"
CVE-2024-21504,"CWE-476","NULL Pointer Dereference"
CVE-2024-21505,"CWE-190","Integer Overflow or Wraparound"
CVE-2024-21506,"CWE-787","Out-of-bounds Write"
CVE-2024-21507,"CWE-22","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')"
CVE-2024-21508,"CWE-862","Missing Authorization"
CVE-2024-21509,"CWE-78","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')"
CVE-2024-21510,"CWE-119","Improper Restriction of Operations within the Bounds of a Memory Buffer"
CVE-2024-21511,"CWE-352","Cross-Site Request Forgery (CSRF)"
CVE-2024-21512,"CWE-287","Improper Authentication"
CVE-2024-21513,"CWE-20","Improper Input Validation"
CVE-2024-21514,"CWE-416","Use After Free"
CVE-2024-21515,"CWE-89","Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')"
CVE-2024-21516,"CWE-79","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
CVE-2024-21517,"CWE-125","Out-of-bounds Read"
CVE-2024-21518,"CWE-502","Deserialization of Untrusted Data"
CVE-2024-21519,"CWE-476","NULL Pointer Dereference"
CVE-2024-21520,"CWE-190","Integer Overflow or Wraparound"
CVE-2024-21521,"CWE-787","Out-of-bounds Write"
CVE-2024-21522,"CWE-22","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')"
CVE-2024-21523,"CWE-862","Missing Authorization"
CVE-2024-21524,"CWE-78","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')"
CVE-2024-21525,"CWE-119","Improper Restriction of Operations within the Bounds of a Memory Buffer"
CVE-2024-21526,"CWE-352","Cross-Site Request Forgery (CSRF)"
CVE-2024-21527,"CWE-287","Improper Authentication"
CVE-2024-21528,"CWE-20","Improper Input Validation"
CVE-2024-21529,"CWE-416","Use After Free"
CVE-2024-21530,"CWE-89","Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')"
CVE-2024-21531,"CWE-79","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
CVE-2024-21532,"CWE-125","Out-of-bounds Read"
CVE-2024-21533,"CWE-502","Deserialization of Untrusted Data"
CVE-2024-21534,"CWE-476","NULL Pointer Dereference"
CVE-2024-21535,"CWE-190","Integer Overflow or Wraparound"
CVE-2024-21536,"CWE-787","Out-of-bounds Write"
CVE-2024-21537,"CWE-22","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')"
