incident_id,report_date,severity,status,summary,assigned_to
54,2023-09-12,High,Closed,"Physical break-in at remote office, equipment stolen",physical-security
55,2023-09-11,Medium,Closed,"Watering hole attack targeting employees on industry news site",soc-team
56,2023-09-10,Low,Monitoring,"Connection to a newly registered domain from asset 59",d.evans
57,2023-09-09,High,Closed,"Cross-Site Scripting (XSS) vulnerability leading to admin cookie theft",webapp-team
58,2023-09-08,Medium,Closed,"Denial of Service (DoS) attack against HR portal",soc-team
59,2023-09-07,Low,Closed,"Spam campaign originating from a compromised user account",email-security
60,2023-09-06,High,Closed,"DNS hijacking redirecting users to a malicious site",network-team
61,2023-09-05,Medium,Closed,"Typosquatting domain used in phishing campaign",soc-team
62,2023-09-04,Low,Closed,"Software license misuse reported by vendor",legal
63,2023-09-03,High,Closed,"Advanced Persistent Threat (APT) group lateral movement detected",incident-response
64,2023-09-02,Medium,Closed,"Form-grabbing malware stole credentials from checkout page",webapp-team
65,2023-09-01,Low,Closed,"Sensitive information found in public code repository",dev-team
66,2023-08-31,High,Closed,"VPN vulnerability exploited, allowing unauthorized access",incident-response
67,2023-08-30,Medium,Closed,"Brute force password guessing against SSH on a public server",soc-team
68,2023-08-29,Low,Closed,"Disgruntled employee deleted files before resignation",hr-legal
69,2023-08-28,High,Closed,"Cloud account takeover via stolen API keys",cloud-team
70,2023-08-27,Medium,Closed,"Smishing (SMS phishing) attack targeting mobile users",soc-team
71,2023-08-26,Low,Closed,"Information leakage from verbose error messages on website",webapp-team
72,2023-08-25,High,Closed,"Drive-by download of malware from a compromised ad network",incident-response
73,2023-08-24,Medium,Closed,"VoIP/SIP service abuse, resulting in high call charges",network-team
74,2023-08-23,Low,Closed,"Physical security badge cloned",physical-security
75,2023-08-22,High,Closed,"Lateral movement from dev to prod environment via misconfiguration",incident-response
76,2023-08-21,Medium,Closed,"SSL certificate expiration caused service outage",pki-team
77,2023-08-20,Low,Closed,"User downloaded and ran unapproved screen saver",it-support
78,2023-08-19,High,Closed,"Industrial Control System (ICS) network compromised",ics-response
79,2023-08-18,Medium,Closed,"Attacker used stolen cookies to bypass MFA",soc-team
80,2023-08-17,Low,Closed,"Data exposure through unsecured Elasticsearch database",cloud-team
81,2023-08-16,High,New,"Active directory compromise, DC offline",incident-response
82,2023-08-15,Medium,Closed,"Malicious insider altered financial records",hr-legal
83,2023-08-14,Low,Closed,"Webcam hijacking on a user's laptop",it-support
84,2023-08-13,High,Closed,"Point-of-Sale (POS) system infected with memory-scraping malware",pos-team
85,2023-08-12,Medium,Closed,"Clickjacking attack on marketing promotion page",webapp-team
86,2023-08-11,Low,Closed,"Email spoofing of CEO's address",email-security
87,2023-08-10,High,Closed,"Firmware backdoor found in network switch",network-team
88,2023-08-09,Medium,Closed,"Threat actor abuse of legitimate remote access tool",soc-team
89,2023-08-08,Low,Closed,"Accidental publication of internal document to public website",pr-team
90,2023-08-07,High,Closed,"Cryptojacking script injected into main company website",webapp-team
91,2023-08-06,Medium,Closed,"SIM swapping attack on executive's mobile phone",hr-legal
92,2023-08-05,Low,Closed,"Hardcoded credentials found in mobile application code",dev-team
93,2023-08-04,High,Closed,"IoT device botnet used in DDoS attack against our servers",incident-response
94,2023-08-03,Medium,Closed,"Vishing (voice phishing) attack successfully impersonated IT support",soc-team
95,2023-08-02,Low,Closed,"Domain name expired and was bought by a malicious actor",legal
96,2023-08-01,High,Closed,"Magecart attack skimming credit card info from payment page",incident-response
97,2023-07-31,Medium,Closed,"API abuse led to scraping of user profile data",api-team
98,2023-07-30,Low,Closed,"Wi-Fi Pineapple used to intercept traffic near office",physical-security
99,2023-07-29,High,Closed,"Nation-state actor targeting research and development data",incident-response
100,2023-10-26,Medium,New,"Suspicious use of BITSAdmin to download file from internet",d.evans
