cloud_provider,misconfiguration,threat_vector,recommendation,cve_id
Azure,Unencrypted Database,Remote Code Execution,Enable server-side encryption for all databases.,CVE-2024-22762
Azure,Overly Permissive IAM Role,Denial of Service,Enable server-side encryption for all databases.,CVE-2024-77606
AWS,Unrestricted Network Security Group,Remote Code Execution,Implement role-based access control (RBAC) for the Kubernetes dashboard.,CVE-2024-41117
GCP,Overly Permissive IAM Role,Unauthorized Access,Implement role-based access control (RBAC) for the Kubernetes dashboard.,CVE-2024-36480
GCP,Exposed Kubernetes Dashboard,Privilege Escalation,Enable server-side encryption for all databases.,CVE-2024-20766
AWS,Overly Permissive IAM Role,Remote Code Execution,Implement role-based access control (RBAC) for the Kubernetes dashboard.,CVE-2024-25989
Azure,Public S3 Bucket,Denial of Service,Modify inbound rules to only allow traffic from known IP addresses.,CVE-2024-47925
Azure,Exposed Kubernetes Dashboard,Unauthorized Access,Enable server-side encryption for all databases.,CVE-2024-64290
GCP,Public S3 Bucket,Data Exposure,Modify inbound rules to only allow traffic from known IP addresses.,CVE-2024-86760
GCP,Unrestricted Network Security Group,Unauthorized Access,Implement role-based access control (RBAC) for the Kubernetes dashboard.,CVE-2024-83213
Azure,Unencrypted Database,Remote Code Execution,Apply the principle of least privilege to IAM roles and policies.,CVE-2024-15343
GCP,Exposed Kubernetes Dashboard,Privilege Escalation,Review and restrict S3 bucket policies to ensure no public access.,CVE-2024-33870
Azure,Public S3 Bucket,Remote Code Execution,Enable server-side encryption for all databases.,CVE-2024-37404
Azure,Overly Permissive IAM Role,Privilege Escalation,Enable server-side encryption for all databases.,CVE-2024-22340
GCP,Overly Permissive IAM Role,Privilege Escalation,Modify inbound rules to only allow traffic from known IP addresses.,CVE-2024-72060
GCP,Overly Permissive IAM Role,Privilege Escalation,Implement role-based access control (RBAC) for the Kubernetes dashboard.,CVE-2024-17384
AWS,Overly Permissive IAM Role,Unauthorized Access,Modify inbound rules to only allow traffic from known IP addresses.,CVE-2024-28024
GCP,Unrestricted Network Security Group,Denial of Service,Enable server-side encryption for all databases.,CVE-2024-41984
AWS,Exposed Kubernetes Dashboard,Unauthorized Access,Review and restrict S3 bucket policies to ensure no public access.,CVE-2024-18597
GCP,Public S3 Bucket,Privilege Escalation,Modify inbound rules to only allow traffic from known IP addresses.,CVE-2024-54047
GCP,Unencrypted Database,Denial of Service,Implement role-based access control (RBAC) for the Kubernetes dashboard.,CVE-2024-12278
AWS,Unencrypted Database,Privilege Escalation,Apply the principle of least privilege to IAM roles and policies.,CVE-2024-91210
Azure,Exposed Kubernetes Dashboard,Data Exposure,Apply the principle of least privilege to IAM roles and policies.,CVE-2024-34221
AWS,Unencrypted Database,Unauthorized Access,Review and restrict S3 bucket policies to ensure no public access.,CVE-2024-27581
Azure,Public S3 Bucket,Remote Code Execution,Modify inbound rules to only allow traffic from known IP addresses.,CVE-2024-19254
AWS,Overly Permissive IAM Role,Remote Code Execution,Enable server-side encryption for all databases.,CVE-2024-79924
AWS,Public S3 Bucket,Data Exposure,Review and restrict S3 bucket policies to ensure no public access.,CVE-2024-48186
